Zone,Type,Brand,AutoLinked
rocks,gtld,false,false
rodeo,gtld,false,false
rogers,gtld,true,false
room,gtld,false,false
rs,cctld,false,true
rsvp,gtld,false,false
ru,cctld,false,true
rugby,gtld,false,false
ruhr,gtld,false,false
run,gtld,false,false
rw,cctld,false,true
rwe,gtld,true,false
ryukyu,gtld,false,false
sa,cctld,false,true
saarland,gtld,false,false
safe,gtld,false,false
safety,gtld,false,false
sakura,gtld,true,false
sale,gtld,false,false
salon,gtld,false,false
samsclub,gtld,true,false
samsung,gtld,true,false
sandvik,gtld,true,false
sandvikcoromant,gtld,true,false
sanofi,gtld,true,false
sap,gtld,true,false
sarl,gtld,false,false
sas,gtld,true,false
save,gtld,false,false
saxo,gtld,true,false
sb,cctld,false,true
sbi,gtld,true,false
sbs,gtld,true,false
sc,cctld,false,true
scb,gtld,true,false
schaeffler,gtld,true,false
schmidt,gtld,true,false
scholarships,gtld,false,false
school,gtld,false,false
schule,gtld,false,false
schwarz,gtld,true,false
science,gtld,false,false
scot,gtld,false,false
sd,cctld,false,true
se,cctld,false,true
search,gtld,false,false
seat,gtld,true,false
secure,gtld,false,false
security,gtld,false,false
seek,gtld,true,false
select,gtld,true,false
sener,gtld,true,false
services,gtld,false,false
seven,gtld,true,false
sew,gtld,true,false
sex,gtld,false,false
sexy,gtld,false,false
sfr,gtld,true,false
sg,cctld,false,true
sh,cctld,false,true
shangrila,gtld,true,false
sharp,gtld,true,false
shell,gtld,true,false
shia,gtld,false,false
shiksha,gtld,false,false
shoes,gtld,false,false
shop,gtld,false,false
shopping,gtld,false,false
shouji,gtld,true,false
show,gtld,false,false
si,cctld,false,true
silk,gtld,true,false
sina,gtld,true,false
singles,gtld,false,false
site,gtld,false,false
sj,cctld,false,true
sk,cctld,false,true
ski,gtld,false,false
skin,gtld,false,false
sky,gtld,true,false
skype,gtld,true,false
sl,cctld,false,true
sling,gtld,true,false
sm,cctld,false,true
smart,gtld,true,false
smile,gtld,false,false
sn,cctld,false,true
sncf,gtld,true,false
so,cctld,false,true
soccer,gtld,false,false
social,gtld,false,false
softbank,gtld,true,false
software,gtld,false,false
sohu,gtld,true,false
solar,gtld,false,false
solutions,gtld,false,false
song,gtld,true,false
sony,gtld,true,false
soy,gtld,false,false
spa,gtld,false,false
space,gtld,false,false
sport,gtld,false,false
spot,gtld,false,false
sr,cctld,false,true
srl,gtld,false,false
ss,cctld,false,false
st,cctld,false,true
stada,gtld,true,false
staples,gtld,true,false
star,gtld,true,false
statebank,gtld,true,false
statefarm,gtld,true,false
stc,gtld,true,false
stcgroup,gtld,true,false
stockholm,gtld,false,false
storage,gtld,false,false
store,gtld,false,false
stream,gtld,false,false
studio,gtld,false,false
study,gtld,false,false
style,gtld,false,false
su,cctld,false,true
sucks,gtld,false,false
supplies,gtld,false,false
supply,gtld,false,false
support,gtld,false,false
surf,gtld,false,false
surgery,gtld,false,false
suzuki,gtld,true,false
sv,cctld,false,true
swatch,gtld,true,false
swiss,gtld,false,false
sx,cctld,false,false
sy,cctld,false,true
sydney,gtld,false,false
systems,gtld,false,false
sz,cctld,false,true
tab,gtld,true,false
