Zone,Type,Brand,AutoLinked
mlb,gtld,true,false
mls,gtld,false,false
mm,cctld,false,false
mma,gtld,false,false
mn,cctld,false,false
mo,cctld,false,false
mobi,gtld,false,false
mobile,gtld,false,false
moda,gtld,false,false
moe,gtld,false,false
moi,gtld,false,false
mom,gtld,false,false
monash,gtld,true,false
money,gtld,false,false
monster,gtld,false,false
mormon,gtld,true,false
mortgage,gtld,false,false
moscow,gtld,false,false
moto,gtld,true,false
motorcycles,gtld,false,false
mov,gtld,false,false
movie,gtld,false,false
mp,cctld,false,false
mq,cctld,false,false
mr,cctld,false,false
ms,cctld,false,true
msd,gtld,true,false
mt,cctld,false,false
mtn,gtld,true,false
mtr,gtld,true,false
mu,cctld,false,false
museum,gtld,false,false
music,gtld,false,false
mv,cctld,false,false
mw,cctld,false,false
mx,cctld,false,true
my,cctld,false,true
mz,cctld,false,false
na,cctld,false,false
nab,gtld,true,false
nagoya,gtld,false,false
name,gtld,false,false
navy,gtld,false,false
nba,gtld,true,false
nc,cctld,false,false
ne,cctld,false,false
nec,gtld,true,false
net,gtld,false,true
netbank,gtld,true,false
netflix,gtld,true,false
network,gtld,false,false
neustar,gtld,true,false
new,gtld,false,false
news,gtld,false,false
next,gtld,true,false
nextdirect,gtld,true,false
nexus,gtld,false,false
nf,cctld,false,false
nfl,gtld,true,false
ng,cctld,false,false
ngo,gtld,false,false
nhk,gtld,true,false
ni,cctld,false,false
nico,gtld,true,false
nike,gtld,true,false
nikon,gtld,true,false
ninja,gtld,false,false
nissan,gtld,true,false
nissay,gtld,true,false
nl,cctld,false,true
no,cctld,false,true
nokia,gtld,true,false
norton,gtld,true,false
now,gtld,false,false
nowruz,gtld,false,false
nowtv,gtld,true,false
np,cctld,false,false
nr,cctld,false,false
nra,gtld,true,false
nrw,gtld,false,false
ntt,gtld,true,false
nu,cctld,false,false
nyc,gtld,false,false
nz,cctld,false,true
obi,gtld,true,false
observer,gtld,false,false
office,gtld,false,false
okinawa,gtld,false,false
olayan,gtld,false,false
olayangroup,gtld,false,false
ollo,gtld,false,false
om,cctld,false,false
omega,gtld,true,false
one,gtld,false,false
ong,gtld,false,false
onl,gtld,false,false
online,gtld,false,true
ooo,gtld,false,false
open,gtld,true,false
oracle,gtld,true,false
orange,gtld,true,false
org,gtld,false,true
organic,gtld,false,false
origins,gtld,true,false
osaka,gtld,false,false
otsuka,gtld,true,false
ott,gtld,false,false
ovh,gtld,false,false
pa,cctld,false,false
page,gtld,false,false
panasonic,gtld,true,false
paris,gtld,false,false
pars,gtld,false,false
partners,gtld,false,false
parts,gtld,false,false
party,gtld,false,false
pay,gtld,false,false
pccw,gtld,true,false
pe,cctld,false,false
pet,gtld,false,false
pf,cctld,false,false
pfizer,gtld,true,false
pg,cctld,false,false
ph,cctld,false,true
pharmacy,gtld,false,false
phd,gtld,false,false
philips,gtld,true,false
phone,gtld,false,false
photo,gtld,false,false
photography,gtld,false,false
photos,gtld,false,false
physio,gtld,false,false
pics,gtld,false,false
pictet,gtld,true,false
pictures,gtld,false,false
pid,gtld,false,false
pin,gtld,false,false
ping,gtld,true,false
pink,gtld,false,false
pioneer,gtld,true,false
pizza,gtld,false,false
pk,cctld,false,true
pl,cctld,false,true
place,gtld,false,false
play,gtld,false,false
playstation,gtld,true,false
plumbing,gtld,false,false
plus,gtld,false,false
pm,cctld,false,false
pn,cctld,false,false
pnc,gtld,true,false
pohl,gtld,false,false
poker,gtld,false,false
politie,gtld,false,false
porn,gtld,false,false
post,gtld,false,false
pr,cctld,false,false
praxi,gtld,true,false
press,gtld,false,false
prime,gtld,true,false
pro,gtld,false,false
prod,gtld,false,false
productions,gtld,false,false
prof,gtld,false,false
progressive,gtld,true,false
promo,gtld,false,false
properties,gtld,false,false
property,gtld,false,false
protection,gtld,false,false
pru,gtld,true,false
prudential,gtld,true,false
ps,cctld,false,false
pt,cctld,false,true
pub,gtld,false,false
pw,cctld,false,true
pwc,gtld,true,false
py,cctld,false,false
qa,cctld,false,false
qpon,gtld,false,false
quebec,gtld,false,false
quest,gtld,false,false
racing,gtld,false,false
radio,gtld,false,false
re,cctld,false,false
read,gtld,false,false
realestate,gtld,false,false
realtor,gtld,false,false
realty,gtld,false,false
recipes,gtld,false,false
red,gtld,false,false
redumbrella,gtld,false,false
rehab,gtld,false,false
reise,gtld,false,false
reisen,gtld,false,false
reit,gtld,false,false
reliance,gtld,true,false
ren,gtld,false,false
rent,gtld,false,false
rentals,gtld,false,false
repair,gtld,false,false
report,gtld,false,false
republican,gtld,false,false
rest,gtld,false,false
restaurant,gtld,false,false
review,gtld,false,false
reviews,gtld,false,false
rexroth,gtld,true,false
rich,gtld,false,false
richardli,gtld,false,false
ricoh,gtld,true,false
ril,gtld,true,false
rio,gtld,false,false
rip,gtld,false,false
ro,cctld,false,true
rocks,gtld,false,false
rodeo,gtld,false,false
rogers,gtld,true,false
room,gtld,false,false
rs,cctld,false,true
rsvp,gtld,false,false
ru,cctld,false,true
rugby,gtld,false,false
ruhr,gtld,false,false
run,gtld,false,false
rw,cctld,false,false
rwe,gtld,true,false
ryukyu,gtld,false,false
sa,cctld,false,true
saarland,gtld,false,false
safe,gtld,false,false
safety,gtld,false,false
sakura,gtld,false,false
sale,gtld,false,false
salon,gtld,false,false
samsclub,gtld,true,false
samsung,gtld,false,false
sandvik,gtld,true,false
sandvikcoromant,gtld,true,false
sanofi,gtld,true,false
sap,gtld,true,false
sarl,gtld,false,false
sas,gtld,true,false
save,gtld,false,false
saxo,gtld,true,false
sb,cctld,false,false
sbi,gtld,true,false
sbs,gtld,false,false
sc,cctld,false,false
scb,gtld,true,false
schaeffler,gtld,true,false
schmidt,gtld,true,false
scholarships,gtld,false,false
school,gtld,false,false
schule,gtld,false,false
schwarz,gtld,true,false
science,gtld,false,false
scot,gtld,false,false
sd,cctld,false,false
se,cctld,false,true
search,gtld,false,false
seat,gtld,true,false
secure,gtld,false,false
security,gtld,false,false
seek,gtld,true,false
select,gtld,false,false
sener,gtld,true,false
services,gtld,false,false
seven,gtld,true,false
sew,gtld,true,false
sex,gtld,false,false
sexy,gtld,false,false
sfr,gtld,true,false
sg,cctld,false,true
sh,cctld,false,false
shangrila,gtld,true,false
sharp,gtld,true,false
shell,gtld,true,false
shia,gtld,false,false
shiksha,gtld,false,false
shoes,gtld,false,false
shop,gtld,false,false
shopping,gtld,false,false
shouji,gtld,false,false
show,gtld,false,false
si,cctld,false,true
silk,gtld,true,false
sina,gtld,true,false
singles,gtld,false,false
site,gtld,false,true
sj,cctld,false,false
sk,cctld,false,true
ski,gtld,false,false
skin,gtld,false,false
sky,gtld,true,false
skype,gtld,true,false
sl,cctld,false,false
sling,gtld,true,false
sm,cctld,false,false
smart,gtld,true,false
smile,gtld,false,false
sn,cctld,false,false
sncf,gtld,true,false
so,cctld,false,true
soccer,gtld,false,false
social,gtld,false,true
softbank,gtld,true,false
software,gtld,false,false
sohu,gtld,false,false
solar,gtld,false,false
solutions,gtld,false,false
song,gtld,false,false
sony,gtld,true,false
soy,gtld,false,false
spa,gtld,false,false
space,gtld,false,false
sport,gtld,false,false
spot,gtld,false,false
sr,cctld,false,false
srl,gtld,false,false
ss,cctld,false,false
st,cctld,false,true
stada,gtld,true,false
staples,gtld,true,false
star,gtld,false,false
statebank,gtld,true,false
statefarm,gtld,true,false
stc,gtld,false,false
stcgroup,gtld,false,false
stockholm,gtld,false,false
storage,gtld,false,false
store,gtld,false,false
stream,gtld,false,false
studio,gtld,false,false
study,gtld,false,false
style,gtld,false,false
su,cctld,false,false
sucks,gtld,false,false
supplies,gtld,false,false
supply,gtld,false,false
support,gtld,false,false
surf,gtld,false,false
surgery,gtld,false,false
suzuki,gtld,true,false
sv,cctld,false,false
swatch,gtld,true,false
swiss,gtld,false,false
sx,cctld,false,false
sy,cctld,false,false
sydney,gtld,false,false
systems,gtld,false,false
sz,cctld,false,false
tab,gtld,true,false
taipei,gtld,false,false
talk,gtld,false,false
taobao,gtld,true,false
target,gtld,true,false
tatamotors,gtld,true,false
tatar,gtld,false,false
tattoo,gtld,false,false
tax,gtld,false,false
taxi,gtld,false,false
